year,household_class,profit,discounted_profit,scenario,variant
9,HFR,27065.5,12626.25549906653,fert_shock,policy_fert_subsidy
9,HMR,32117.75,14983.167410731156,fert_shock,policy_fert_subsidy
9,MFIR,40114.5,18713.710303423337,fert_shock,policy_fert_subsidy
9,MMR,40114.5,18713.710303423337,fert_shock,policy_fert_subsidy
9,MMIR,46573.5,21726.881472198005,fert_shock,policy_fert_subsidy
9,MFR,35190.0,16416.39470958051,fert_shock,policy_fert_subsidy
10,HFR,27065.5,11478.41409006048,fert_shock,policy_fert_subsidy
10,HMR,32117.75,13621.061282482866,fert_shock,policy_fert_subsidy
10,MFIR,40114.5,17012.46391220303,fert_shock,policy_fert_subsidy
10,MMR,40114.5,17012.46391220303,fert_shock,policy_fert_subsidy
10,MMIR,46573.5,19751.71042927091,fert_shock,policy_fert_subsidy
10,MFR,35190.0,14923.995190527732,fert_shock,policy_fert_subsidy
